corpus	language	file	bytes	chars	lines	tokens	bytes_per_token	tokens_per_line
python-stdlib	Python	/usr/lib/python3.14/xmlrpc/client.py	48569	48569	1503	11194	4.3388	7.4478
python-stdlib	Python	/usr/lib/python3.14/multiprocessing/resource_tracker.py	19073	19073	495	4141	4.6059	8.3657
python-stdlib	Python	/usr/lib/python3.14/encodings/euc_jis_2004.py	1051	1051	39	256	4.1055	6.5641
python-stdlib	Python	/usr/lib/python3.14/encodings/mac_greek.py	13721	13721	307	5243	2.6170	17.0782
python-stdlib	Python	/usr/lib/python3.14/email/_parseaddr.py	18121	18121	563	4372	4.1448	7.7655
python-stdlib	Python	/usr/lib/python3.14/unittest/__main__.py	472	472	18	121	3.9008	6.7222
python-stdlib	Python	/usr/lib/python3.14/importlib/_bootstrap_external.py	57685	57685	1562	12241	4.7124	7.8367
python-stdlib	Python	/usr/lib/python3.14/encodings/iso8859_5.py	13015	13015	307	5127	2.5385	16.7003
python-stdlib	Python	/usr/lib/python3.14/decimal.py	2826	2826	109	813	3.4760	7.4587
python-stdlib	Python	/usr/lib/python3.14/encodings/cp1250.py	13686	13686	307	5098	2.6846	16.6059
python-stdlib	Python	/usr/lib/python3.14/multiprocessing/shared_memory.py	18916	18916	544	3999	4.7302	7.3511
python-stdlib	Python	/usr/lib/python3.14/sre_constants.py	232	232	7	62	3.7419	8.8571
python-stdlib	Python	/usr/lib/python3.14/contextlib.py	27801	27801	814	5692	4.8842	6.9926
python-stdlib	Python	/usr/lib/python3.14/xml/sax/saxutils.py	12255	12255	369	2758	4.4434	7.4743
python-stdlib	Python	/usr/lib/python3.14/email/mime/application.py	1316	1316	37	275	4.7855	7.4324
python-stdlib	Python	/usr/lib/python3.14/cProfile.py	7122	7122	205	1534	4.6428	7.4829
python-stdlib	Python	/usr/lib/python3.14/email/header.py	24459	24459	582	5412	4.5194	9.2990
python-stdlib	Python	/usr/lib/python3.14/dbm/gnu.py	72	72	3	21	3.4286	7.0000
python-stdlib	Python	/usr/lib/python3.14/importlib/resources/abc.py	5203	5203	173	1083	4.8042	6.2601
