model	task	lang	attempts	first_ok	final_ok	final_bytes	final_tokens	total_bytes	total_tokens
sonnet	l1-import-tally	raku	1	yes	yes	832	244	832	244
sonnet	l1-import-tally	python	1	yes	yes	880	216	880	216
sonnet	l2-package-depth	raku	1	yes	yes	835	235	835	235
sonnet	l2-package-depth	python	1	yes	yes	923	208	923	208
sonnet	l3-extension-impls	raku	1	yes	yes	506	162	506	162
sonnet	l3-extension-impls	python	1	yes	yes	747	188	747	188
sonnet	l4-longest-lines	raku	1	yes	yes	609	195	609	195
sonnet	l4-longest-lines	python	1	yes	yes	621	163	621	163
sonnet	l5-trace-words	raku	1	yes	yes	617	203	617	203
sonnet	l5-trace-words	python	1	yes	yes	814	216	814	216
sonnet	l6-todo-scan	raku	1	yes	yes	731	226	731	226
sonnet	l6-todo-scan	python	1	yes	yes	717	180	717	180
sonnet	l7-duplicate-basenames	raku	2	no	yes	726	226	1450	451
sonnet	l7-duplicate-basenames	python	1	yes	yes	537	146	537	146
sonnet	l8-kt-line-stats	raku	1	yes	yes	863	277	863	277
sonnet	l8-kt-line-stats	python	1	yes	yes	1080	267	1080	267
sonnet	l9-doc-headings	raku	1	yes	yes	599	197	599	197
sonnet	l9-doc-headings	python	1	yes	yes	970	279	970	279
sonnet	l10-camel-segments	raku	1	yes	yes	955	306	955	306
sonnet	l10-camel-segments	python	1	yes	yes	1025	280	1025	280
sonnet	l11-xml-tag-census	raku	1	yes	yes	503	185	503	185
sonnet	l11-xml-tag-census	python	1	yes	yes	887	235	887	235
sonnet	l12-first-line-census	raku	1	yes	yes	771	229	771	229
sonnet	l12-first-line-census	python	1	yes	yes	936	216	936	216
opus	l1-import-tally	raku	1	yes	yes	636	180	636	180
opus	l1-import-tally	python	1	yes	yes	872	208	872	208
opus	l2-package-depth	raku	1	yes	yes	606	187	606	187
opus	l2-package-depth	python	1	yes	yes	977	232	977	232
opus	l3-extension-impls	raku	1	yes	yes	413	140	413	140
opus	l3-extension-impls	python	1	yes	yes	568	153	568	153
opus	l4-longest-lines	raku	2	no	yes	467	142	1026	315
opus	l4-longest-lines	python	1	yes	yes	763	199	763	199
opus	l5-trace-words	raku	1	yes	yes	468	147	468	147
opus	l5-trace-words	python	1	yes	yes	808	215	808	215
opus	l6-todo-scan	raku	1	yes	yes	496	150	496	150
opus	l6-todo-scan	python	1	yes	yes	861	219	861	219
opus	l7-duplicate-basenames	raku	1	yes	yes	513	163	513	163
opus	l7-duplicate-basenames	python	1	yes	yes	490	135	490	135
opus	l8-kt-line-stats	raku	2	no	yes	660	222	1186	406
opus	l8-kt-line-stats	python	1	yes	yes	866	240	866	240
opus	l9-doc-headings	raku	1	yes	yes	384	130	384	130
opus	l9-doc-headings	python	1	yes	yes	823	228	823	228
opus	l10-camel-segments	raku	1	yes	yes	1068	358	1068	358
opus	l10-camel-segments	python	1	yes	yes	928	241	928	241
opus	l11-xml-tag-census	raku	1	yes	yes	367	132	367	132
opus	l11-xml-tag-census	python	1	yes	yes	742	207	742	207
opus	l12-first-line-census	raku	2	no	yes	697	193	1196	345
opus	l12-first-line-census	python	1	yes	yes	940	243	940	243
