type	method	adverb	kind	provenance
AST	BUILD	past	runtime	declared
Actions	batch	elems	runtime	declared
Actions	categorize	as	runtime	declared
Actions	categorize	into	runtime	declared
Actions	classify	as	runtime	declared
Actions	classify	into	runtime	declared
Actions	first	end	runtime	declared
Actions	flatmap	label	runtime	declared
Actions	map	deep	runtime	declared
Actions	map	duck	runtime	declared
Actions	map	flat	runtime	declared
Actions	map	item	runtime	declared
Actions	map	label	runtime	declared
Actions	map	node	runtime	declared
Actions	max	by	runtime	declared
Actions	max	k	runtime	declared
Actions	max	kv	runtime	declared
Actions	max	p	runtime	declared
Actions	max	v	runtime	declared
Actions	min	by	runtime	declared
Actions	min	k	runtime	declared
Actions	min	kv	runtime	declared
Actions	min	p	runtime	declared
Actions	min	v	runtime	declared
Actions	minmax	by	runtime	declared
Actions	repeated	as	runtime	declared
Actions	repeated	with	runtime	declared
Actions	rotor	partial	runtime	declared
Actions	squish	as	runtime	declared
Actions	squish	with	runtime	declared
Actions	toggle	off	runtime	declared
Actions	unique	as	runtime	declared
Actions	unique	with	runtime	declared
AffinityWorker	batch	elems	runtime	declared
AffinityWorker	categorize	as	runtime	declared
AffinityWorker	categorize	into	runtime	declared
AffinityWorker	classify	as	runtime	declared
AffinityWorker	classify	into	runtime	declared
AffinityWorker	first	end	runtime	declared
AffinityWorker	flatmap	label	runtime	declared
AffinityWorker	map	deep	runtime	declared
AffinityWorker	map	duck	runtime	declared
AffinityWorker	map	flat	runtime	declared
AffinityWorker	map	item	runtime	declared
AffinityWorker	map	label	runtime	declared
AffinityWorker	map	node	runtime	declared
AffinityWorker	max	by	runtime	declared
AffinityWorker	max	k	runtime	declared
AffinityWorker	max	kv	runtime	declared
AffinityWorker	max	p	runtime	declared
AffinityWorker	max	v	runtime	declared
AffinityWorker	min	by	runtime	declared
AffinityWorker	min	k	runtime	declared
AffinityWorker	min	kv	runtime	declared
AffinityWorker	min	p	runtime	declared
AffinityWorker	min	v	runtime	declared
AffinityWorker	minmax	by	runtime	declared
AffinityWorker	repeated	as	runtime	declared
AffinityWorker	repeated	with	runtime	declared
AffinityWorker	rotor	partial	runtime	declared
AffinityWorker	squish	as	runtime	declared
AffinityWorker	squish	with	runtime	declared
AffinityWorker	toggle	off	runtime	declared
AffinityWorker	unique	as	runtime	declared
AffinityWorker	unique	with	runtime	declared
AllButLast	batch	elems	runtime	declared
AllButLast	categorize	as	runtime	declared
AllButLast	categorize	into	runtime	declared
AllButLast	classify	as	runtime	declared
AllButLast	classify	into	runtime	declared
AllButLast	first	end	runtime	declared
AllButLast	flatmap	label	runtime	declared
AllButLast	map	deep	runtime	declared
AllButLast	map	duck	runtime	declared
AllButLast	map	flat	runtime	declared
AllButLast	map	item	runtime	declared
