type	method	idiom	target_type	target_method	evidence	slice
Any	match	|c	Str	match	src/core.c/Any.rakumod:148	s01
Any	combinations	|c	List	combinations	src/core.c/Any.rakumod:186	s01
Any	permutations	|c	List	permutations	src/core.c/Any.rakumod:187	s01
Any	push	|c	Array	push	src/core.c/Any.rakumod:213	s01
Any	append	|c	Array	append	src/core.c/Any.rakumod:219	s01
Any	unshift	|c	Array	unshift	src/core.c/Any.rakumod:225	s01
Any	prepend	|c	Array	prepend	src/core.c/Any.rakumod:231	s01
Any	first	positional-%_	SELF	!first-regex-end	src/core.c/Any-iterable-methods.rakumod:609	s01
Any	first	positional-%_	SELF	!first-regex	src/core.c/Any-iterable-methods.rakumod:610	s01
Any	first	positional-%_	SELF	!first-callable-end	src/core.c/Any-iterable-methods.rakumod:614	s01
Any	first	positional-%_	SELF	!first-callable	src/core.c/Any-iterable-methods.rakumod:615	s01
Any	first	positional-%_	SELF	!first-accepts-end	src/core.c/Any-iterable-methods.rakumod:619	s01
Any	first	positional-%_	SELF	!first-accepts	src/core.c/Any-iterable-methods.rakumod:620	s01
Any	!first-callable	positional-%_	SELF	!first-result	src/core.c/Any-iterable-methods.rakumod:642	s01
Any	!first-callable-end	positional-%_	SELF	!first-result	src/core.c/Any-iterable-methods.rakumod:654	s01
Any	!first-regex	positional-%_	SELF	!first-result	src/core.c/Any-iterable-methods.rakumod:684	s01
Any	!first-regex-end	positional-%_	SELF	!first-result	src/core.c/Any-iterable-methods.rakumod:705	s01
Any	!first-accepts	positional-%_	SELF	!first-result	src/core.c/Any-iterable-methods.rakumod:726	s01
Any	!first-accepts-end	positional-%_	SELF	!first-result	src/core.c/Any-iterable-methods.rakumod:738	s01
Any	sort	|c	List	sort	src/core.c/Any-iterable-methods.rakumod:793	s01
Any	head	|c	List	head	src/core.c/Any-iterable-methods.rakumod:1238	s01
Any	tail	|c	List	tail	src/core.c/Any-iterable-methods.rakumod:1254	s01
Array::Shaped	DELETE-POS	|c	Any	DELETE-POS	src/core.c/Array/Shaped.rakumod:135	s01
Array::Shaped	BIND-POS	|c	Any	BIND-POS	src/core.c/Array/Shaped.rakumod:181	s01
Baggy	classify-list	|c	SELF	classify-list	src/core.c/Baggy.rakumod:556	s01
Baggy	categorize-list	|c	SELF	categorize-list	src/core.c/Baggy.rakumod:606	s01
Backtrace::Frame	new	positional-%_	Mu	POPULATE	src/core.c/Backtrace.rakumod:17	s01
Code	assuming	|c	UNKNOWN	UNKNOWN	src/core.c/Code.rakumod:328	s02
CompUnit::PrecompilationStore::FileSystem	new-unit	|c	CompUnit::PrecompilationUnit::File	new	src/core.c/CompUnit/PrecompilationStore/FileSystem.rakumod:26	s02
Cool	encode	|c	Str	encode	src/core.c/Cool.rakumod:77	s03
Cool	wordcase	|%_	Str	wordcase	src/core.c/Cool.rakumod:87	s03
Cool	trans	|c	Str	trans	src/core.c/Cool.rakumod:95	s03
Cool	substr-rw	|c	Str	substr-rw	src/core.c/Cool.rakumod:174	s03
Cool	substr-eq	|%_	Str	starts-with	src/core.c/Cool.rakumod:182	s03
Cool	substr-eq	|%_	Str	substr-eq	src/core.c/Cool.rakumod:185	s03
Cool	contains	|%_	Str	contains	src/core.c/Cool.rakumod:198	s03
Cool	indices	|%_	Str	indices	src/core.c/Cool.rakumod:234	s03
Cool	index	|%_	Str	index	src/core.c/Cool.rakumod:264	s03
Cool	rindex	|%_	Str	rindex	src/core.c/Cool.rakumod:301	s03
Cool	split	|c	Str	split	src/core.c/Cool.rakumod:313	s03
Cool	subst	|%options	Str	subst	src/core.c/Cool.rakumod:362	s03
Cool	subst-mutate	|c	Str	subst-mutate	src/core.c/Cool.rakumod:370	s03
Cool	EVAL	|%opts	GLOBAL	EVAL	src/core.c/Cool.rakumod:392	s03
Date	new	positional-%_	SELF	!populate	src/core.c/Date.rakumod:77	s03
Date	new	positional-%_	SELF	!new-from-daycount	src/core.c/Date.rakumod:145	s03
Date	new-from-daycount	positional-%_	SELF	!new-from-daycount	src/core.c/Date.rakumod:156	s03
Date	today	positional-%_	SELF	!populate	src/core.c/Date.rakumod:185	s03
Date	clone	positional-%_	SELF	!populate	src/core.c/Date.rakumod:354	s03
Date	!new-from-daycount	positional-%_	SELF	!populate	src/core.c/Date.rakumod:173	s03
Date	!populate	positional-%_	Mu	POPULATE	src/core.c/Date.rakumod:50	s03
CompUnit::Repository::Distribution	new	|%_	SELF	bless	src/core.c/CompUnit/Repository/Distribution.rakumod:27	s03
CompUnit::Repository::Locally	new	|%_	SELF	bless	src/core.c/CompUnit/Repository/Locally.rakumod:36	s03
DateTime	new	positional-%_	SELF	!populate	src/core.c/DateTime.rakumod:236	s04
DateTime	new	positional-%_	SELF	!populate	src/core.c/DateTime.rakumod:250	s04
DateTime	new	|%_	SELF	new	src/core.c/DateTime.rakumod:256	s04
DateTime	new	|%_	SELF	new	src/core.c/DateTime.rakumod:262	s04
DateTime	new	|%_	SELF	clone	src/core.c/DateTime.rakumod:264	s04
DateTime	new	|c	SELF	new	src/core.c/DateTime.rakumod:268	s04
DateTime	new	positional-%_	SELF	!populate	src/core.c/DateTime.rakumod:411	s04
DateTime	clone	positional-%_	SELF	!populate	src/core.c/DateTime.rakumod:476	s04
DateTime	!clone-without-validating	|%_	SELF	clone	src/core.c/DateTime.rakumod:502	s04
Distribution::Resource	open	|c	IO::Path	open	src/core.c/Distribution/Resource.rakumod:26	s04
Distribution::Resource	slurp	|c	IO::Path	slurp	src/core.c/Distribution/Resource.rakumod:29	s04
Distribution::Resource	lines	|c	IO::Path	lines	src/core.c/Distribution/Resource.rakumod:32	s04
Distribution::Resource	comb	|c	IO::Path	comb	src/core.c/Distribution/Resource.rakumod:35	s04
Distribution::Resource	split	|c	IO::Path	split	src/core.c/Distribution/Resource.rakumod:38	s04
