type	method	adverb	probe	slice
Any	grep	k	(1,2,3,4).grep(* > 2, :k).join(",") eq "2,3"	s01
Any	grep	kv	(1,2,3,4).grep(* > 2, :kv).elems == 4	s01
Any	grep	p	(1,2,3,4).grep(* > 2, :p).head ~~ Pair	s01
Any	first	k	(10,20,30).first(* > 10, :k) == 1	s01
Any	first	kv	(10,20,30).first(* > 10, :kv).elems == 2	s01
Any	first	p	(10,20,30).first(* > 10, :p) ~~ Pair	s01
Any	first	end	(10,20,30).first(* > 10, :end) == 30	s01
Any	match	g	12321.match(/2/, :g).elems == 2	s01
Any	match	x	12321.match(/\d/, :x(2)).elems == 2	s01
Blob	decode	strict	Blob.new(0x81,0x8D).decode("windows-1252").chars == 2 && !(try Blob.new(0x81,0x8D).decode("windows-1252", :strict)).defined	s02
Blob	decode	replacement	Blob.new(0x81,0x8D).decode("windows-1252", :strict, :replacement("?")) eq "??"	s02
Collation	set	primary	$*COLLATION.set(:!primary).collation-level != $*COLLATION.set().collation-level	s02
Collation	set	secondary	$*COLLATION.set(:!secondary).collation-level != $*COLLATION.set().collation-level	s02
Collation	set	tertiary	$*COLLATION.set(:!tertiary).collation-level != $*COLLATION.set().collation-level	s02
Collation	set	quaternary	$*COLLATION.set(:!quaternary).collation-level != $*COLLATION.set().collation-level	s02
Cool	subst	g	1212.subst("1","x",:g) ne 1212.subst("1","x")	s03
Cool	subst	x	11111.subst("1","x",:x(2)) eq "xx111"	s03
Cool	subst	nth	1212.subst("1","x",:nth(2)) eq "12x2"	s03
Cool	subst	th	1212.subst("1","x",:th(2)) eq "12x2"	s03
Cool	subst-mutate	g	do { my $x = 1212; $x.subst-mutate("1","x",:g); $x eq "x2x2" }	s03
Cool	split	skip-empty	1010.split("0",:skip-empty).elems != 1010.split("0").elems	s03
Cool	split	v	1010.split("0",:v).elems != 1010.split("0").elems	s03
Cool	split	k	1010.split("0",:k).elems != 1010.split("0").elems	s03
Cool	trans	squash	1223.trans("23" => "xy", :squash) ne 1223.trans("23" => "xy")	s03
Cool	trans	complement	1223.trans("2" => "x", :complement) ne 1223.trans("2" => "x")	s03
Cool	substr-eq	ignorecase	(1+2i).substr-eq("I", 3, :ignorecase) && !(1+2i).substr-eq("I", 3)	s03
Cool	index	ignorecase	(1+2i).index("I", :ignorecase) == 3 && !(1+2i).index("I").defined	s03
Cool	indices	ignorecase	(1+2i).indices("I", :ignorecase).elems == 1 && (1+2i).indices("I").elems == 0	s03
Cool	indices	overlap	11110.indices("11", :overlap).elems == 3 && 11110.indices("11").elems == 2	s03
Cool	contains	ignorecase	(1+2i).contains("I", :ignorecase) && !(1+2i).contains("I")	s03
Cool	starts-with	ignorecase	(1+2i).starts-with("1+2I", :ignorecase) && !(1+2i).starts-with("1+2I")	s03
Cool	ends-with	ignorecase	(1+2i).ends-with("I", :ignorecase) && !(1+2i).ends-with("I")	s03
Date	new	formatter	Date.new(2020,1,1, formatter => { "X" }).Str eq "X"	s03
Date	new-from-daycount	formatter	Date.new-from-daycount(58000, formatter => { "X" }).Str eq "X"	s03
Date	today	formatter	Date.today(formatter => { "X" }).Str eq "X"	s03
Date	clone	year	Date.new(2020,1,1).clone(:year(2021)).year == 2021	s03
Date	clone	month	Date.new(2020,1,1).clone(:month(3)).month == 3	s03
Date	clone	day	Date.new(2020,1,1).clone(:day(15)).day == 15	s03
Date	clone	formatter	Date.new(2020,1,31).clone(:formatter({"Z"})).Str eq "Z"	s03
DateTime	new	hour	DateTime.new(:date(Date.new(2020,1,1)),:hour(5)).hour != DateTime.new(:date(Date.new(2020,1,1))).hour	s04
DateTime	new	minute	DateTime.new(:date(Date.new(2020,1,1)),:minute(5)).minute != DateTime.new(:date(Date.new(2020,1,1))).minute	s04
DateTime	new	second	DateTime.new(:date(Date.new(2020,1,1)),:second(5)).second != DateTime.new(:date(Date.new(2020,1,1))).second	s04
DateTime	new	day	DateTime.new(:date(Date.new(2020,1,1)),:day(5)).day != DateTime.new(:date(Date.new(2020,1,1))).day	s04
DateTime	new	timezone	DateTime.new("2020-01-01T00:00:00",:timezone(3600)).Str ne DateTime.new("2020-01-01T00:00:00").Str	s04
DateTime	new	formatter	DateTime.new(:date(Date.new(2020,1,1)),:formatter({"X"})).Str ne DateTime.new(:date(Date.new(2020,1,1))).Str	s04
DateTime	clone	year	DateTime.new(2020,1,1,0,0,0).clone(:year(2021)).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str	s04
DateTime	clone	month	DateTime.new(2020,1,1,0,0,0).clone(:month(3)).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str	s04
DateTime	clone	day	DateTime.new(2020,1,1,0,0,0).clone(:day(3)).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str	s04
DateTime	clone	hour	DateTime.new(2020,1,1,0,0,0).clone(:hour(7)).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str	s04
DateTime	clone	minute	DateTime.new(2020,1,1,0,0,0).clone(:minute(3)).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str	s04
DateTime	clone	second	DateTime.new(2020,1,1,0,0,0).clone(:second(3)).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str	s04
DateTime	clone	timezone	DateTime.new(2020,1,1,0,0,0).clone(:timezone(3600)).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str	s04
DateTime	clone	formatter	DateTime.new(2020,1,1,0,0,0).clone(:formatter({"X"})).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str	s04
DateTime	posix	real	DateTime.new(2020,1,1,0,0,0.5).posix(:real) != DateTime.new(2020,1,1,0,0,0.5).posix	s04
Dateish	later	day	DateTime.new(2020,1,1,0,0,0).later(:day(1)).day != DateTime.new(2020,1,1,0,0,0).day	s04
Dateish	later	hour	DateTime.new(2020,1,2,0,0,0).later(:hour(1)).hour != DateTime.new(2020,1,2,0,0,0).hour	s04
Dateish	earlier	day	DateTime.new(2020,1,2,0,0,0).earlier(:day(1)).day != DateTime.new(2020,1,2,0,0,0).day	s04
Dateish	earlier	month	DateTime.new(2020,1,2,0,0,0).earlier(:month(1)).month != DateTime.new(2020,1,2,0,0,0).month	s04
Encoding::Builtin	encoder	replacement	(try Encoding::Registry.find("ascii").encoder.encode-chars("\x[263A]")) === Nil && Encoding::Registry.find("ascii").encoder(:replacement("?")).encode-chars("\x[263A]").decode("ascii") eq "?"	s04
Encoding::Builtin	decoder	strict	do { my $a := Encoding::Registry.find("windows-1252").decoder(:strict); my $b := Encoding::Registry.find("windows-1252").decoder; $a.add-bytes(Blob.new(129)); $b.add-bytes(Blob.new(129)); (try $a.consume-all-chars()) === Nil && (try $b.consume-all-chars()).defined }	s04
Encoding::Builtin	decoder	translate-nl	do { my $a := Encoding::Registry.find("utf8").decoder(:translate-nl); my $b := Encoding::Registry.find("utf8").decoder; $a.add-bytes("a\r\nb".encode("utf8")); $b.add-bytes("a\r\nb".encode("utf8")); $a.consume-all-chars() ne $b.consume-all-chars() }	s04
Hash	classify-list	as	(my %a).classify-list({ $_ %% 2 }, 1, 2, :as(* * 10)){True}[0] != (my %b).classify-list({ $_ %% 2 }, 1, 2){True}[0]	s05
Hash	categorize-list	as	(my %a).categorize-list({ ($_ %% 2,) }, 1, 2, :as(* * 10)){True}[0] != (my %b).categorize-list({ ($_ %% 2,) }, 1, 2){True}[0]	s05
