type	method	adverb	verdict	detail	probe
Any	grep	k	verified		(1,2,3,4).grep(* > 2, :k).join(",") eq "2,3"
Any	grep	kv	verified		(1,2,3,4).grep(* > 2, :kv).elems == 4
Any	grep	p	verified		(1,2,3,4).grep(* > 2, :p).head ~~ Pair
Any	first	k	verified		(10,20,30).first(* > 10, :k) == 1
Any	first	kv	verified		(10,20,30).first(* > 10, :kv).elems == 2
Any	first	p	verified		(10,20,30).first(* > 10, :p) ~~ Pair
Any	first	end	verified		(10,20,30).first(* > 10, :end) == 30
Any	match	g	verified		12321.match(/2/, :g).elems == 2
Any	match	x	verified		12321.match(/\d/, :x(2)).elems == 2
Blob	decode	strict	verified		Blob.new(0x81,0x8D).decode("windows-1252").chars == 2 && !(try Blob.new(0x81,0x8D).decode("windows-1252", :strict)).defined
Blob	decode	replacement	verified		Blob.new(0x81,0x8D).decode("windows-1252", :strict, :replacement("?")) eq "??"
Collation	set	primary	verified		$*COLLATION.set(:!primary).collation-level != $*COLLATION.set().collation-level
Collation	set	secondary	verified		$*COLLATION.set(:!secondary).collation-level != $*COLLATION.set().collation-level
Collation	set	tertiary	verified		$*COLLATION.set(:!tertiary).collation-level != $*COLLATION.set().collation-level
Collation	set	quaternary	verified		$*COLLATION.set(:!quaternary).collation-level != $*COLLATION.set().collation-level
Cool	subst	g	verified		1212.subst("1","x",:g) ne 1212.subst("1","x")
Cool	subst	x	verified		11111.subst("1","x",:x(2)) eq "xx111"
Cool	subst	nth	verified		1212.subst("1","x",:nth(2)) eq "12x2"
Cool	subst	th	verified		1212.subst("1","x",:th(2)) eq "12x2"
Cool	subst-mutate	g	verified		do { my $x = 1212; $x.subst-mutate("1","x",:g); $x eq "x2x2" }
Cool	split	skip-empty	verified		1010.split("0",:skip-empty).elems != 1010.split("0").elems
Cool	split	v	verified		1010.split("0",:v).elems != 1010.split("0").elems
Cool	split	k	verified		1010.split("0",:k).elems != 1010.split("0").elems
Cool	trans	squash	verified		1223.trans("23" => "xy", :squash) ne 1223.trans("23" => "xy")
Cool	trans	complement	verified		1223.trans("2" => "x", :complement) ne 1223.trans("2" => "x")
Cool	substr-eq	ignorecase	verified		(1+2i).substr-eq("I", 3, :ignorecase) && !(1+2i).substr-eq("I", 3)
Cool	index	ignorecase	verified		(1+2i).index("I", :ignorecase) == 3 && !(1+2i).index("I").defined
Cool	indices	ignorecase	verified		(1+2i).indices("I", :ignorecase).elems == 1 && (1+2i).indices("I").elems == 0
Cool	indices	overlap	verified		11110.indices("11", :overlap).elems == 3 && 11110.indices("11").elems == 2
Cool	contains	ignorecase	verified		(1+2i).contains("I", :ignorecase) && !(1+2i).contains("I")
Cool	starts-with	ignorecase	verified		(1+2i).starts-with("1+2I", :ignorecase) && !(1+2i).starts-with("1+2I")
Cool	ends-with	ignorecase	verified		(1+2i).ends-with("I", :ignorecase) && !(1+2i).ends-with("I")
Date	new	formatter	verified		Date.new(2020,1,1, formatter => { "X" }).Str eq "X"
Date	new-from-daycount	formatter	verified		Date.new-from-daycount(58000, formatter => { "X" }).Str eq "X"
Date	today	formatter	verified		Date.today(formatter => { "X" }).Str eq "X"
Date	clone	year	verified		Date.new(2020,1,1).clone(:year(2021)).year == 2021
Date	clone	month	verified		Date.new(2020,1,1).clone(:month(3)).month == 3
Date	clone	day	verified		Date.new(2020,1,1).clone(:day(15)).day == 15
Date	clone	formatter	verified		Date.new(2020,1,31).clone(:formatter({"Z"})).Str eq "Z"
DateTime	new	hour	verified		DateTime.new(:date(Date.new(2020,1,1)),:hour(5)).hour != DateTime.new(:date(Date.new(2020,1,1))).hour
DateTime	new	minute	verified		DateTime.new(:date(Date.new(2020,1,1)),:minute(5)).minute != DateTime.new(:date(Date.new(2020,1,1))).minute
DateTime	new	second	verified		DateTime.new(:date(Date.new(2020,1,1)),:second(5)).second != DateTime.new(:date(Date.new(2020,1,1))).second
DateTime	new	day	verified		DateTime.new(:date(Date.new(2020,1,1)),:day(5)).day != DateTime.new(:date(Date.new(2020,1,1))).day
DateTime	new	timezone	verified		DateTime.new("2020-01-01T00:00:00",:timezone(3600)).Str ne DateTime.new("2020-01-01T00:00:00").Str
DateTime	new	formatter	verified		DateTime.new(:date(Date.new(2020,1,1)),:formatter({"X"})).Str ne DateTime.new(:date(Date.new(2020,1,1))).Str
DateTime	clone	year	verified		DateTime.new(2020,1,1,0,0,0).clone(:year(2021)).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str
DateTime	clone	month	verified		DateTime.new(2020,1,1,0,0,0).clone(:month(3)).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str
DateTime	clone	day	verified		DateTime.new(2020,1,1,0,0,0).clone(:day(3)).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str
DateTime	clone	hour	verified		DateTime.new(2020,1,1,0,0,0).clone(:hour(7)).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str
DateTime	clone	minute	verified		DateTime.new(2020,1,1,0,0,0).clone(:minute(3)).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str
DateTime	clone	second	verified		DateTime.new(2020,1,1,0,0,0).clone(:second(3)).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str
DateTime	clone	timezone	verified		DateTime.new(2020,1,1,0,0,0).clone(:timezone(3600)).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str
DateTime	clone	formatter	verified		DateTime.new(2020,1,1,0,0,0).clone(:formatter({"X"})).Str ne DateTime.new(2020,1,1,0,0,0).clone.Str
DateTime	posix	real	verified		DateTime.new(2020,1,1,0,0,0.5).posix(:real) != DateTime.new(2020,1,1,0,0,0.5).posix
Dateish	later	day	verified		DateTime.new(2020,1,1,0,0,0).later(:day(1)).day != DateTime.new(2020,1,1,0,0,0).day
Dateish	later	hour	verified		DateTime.new(2020,1,2,0,0,0).later(:hour(1)).hour != DateTime.new(2020,1,2,0,0,0).hour
Dateish	earlier	day	verified		DateTime.new(2020,1,2,0,0,0).earlier(:day(1)).day != DateTime.new(2020,1,2,0,0,0).day
Dateish	earlier	month	verified		DateTime.new(2020,1,2,0,0,0).earlier(:month(1)).month != DateTime.new(2020,1,2,0,0,0).month
Encoding::Builtin	encoder	replacement	verified		(try Encoding::Registry.find("ascii").encoder.encode-chars("\x[263A]")) === Nil && Encoding::Registry.find("ascii").encoder(:replacement("?")).encode-chars("\x[263A]").decode("ascii") eq "?"
